fork,execve,read,write,open,close,socket,connect,accept,send,recv
0,0,1462,1,33,4,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1500,0,0,0,0,0,0,0,0
0,0,1260,238,1,1,0,0,0,0,0
0,0,0,19,0,0,0,0,0,0,0
